2016-08;overall;success;rate;69
2016-08;people;replacing;missing;56
2016-08;missing;teeth;overall;56
2016-08;teeth;overall;success;56
2016-08;replacing;missing;teeth;56
2016-08;internal;ratchet;drivers;23
2016-08;surgery;internal;ratchet;22
2016-08;success;rate;people;21
2016-08;rate;people;replacing;21
2016-08;teeth;right;mouth;20
2016-09;around;thousands;years;53
2016-09;know;around;thousands;53
2016-09;phoenicians;used;gold;53
2016-09;thousands;years;ancient;53
2016-09;ancient;phoenicians;used;53
2016-09;years;ancient;phoenicians;53
2016-09;used;gold;know;51
2016-09;gold;know;around;51
2016-09;novel;nasal;endoscopic;33
2016-09;endoscopic;approach;removing;33
2016-10;approved;high;quality;131
2016-10;offers;australian;approved;131
2016-10;australian;approved;high;131
2016-10;professionals;offers;australian;131
2016-10;quality;professionals;offers;127
2016-10;high;quality;professionals;127
2016-10;overall;success;rate;35
2016-10;study;teach;model;30
2016-10;teeth;study;teach;30
2016-10;brief;history;contribution;26
2016-11;reduction;contra;angle;50
2016-11;contra;angle;handpiece;40
2016-11;brief;history;contribution;35
2016-11;simple;explanation;process;34
2016-11;explanation;process;simple;31
2016-11;process;simple;explanation;31
2016-11;history;contribution;dentistry;24
2016-11;style;reduction;contra;23
2016-11;unignorable;functions;serve;19
2016-11;serve;unignorable;functions;18
2016-12;hydrualic;press;ceramic;235
2016-12;press;ceramic;hydrualic;195
2016-12;ceramic;hydrualic;press;195
2016-12;evolution;challenging;school;157
2016-12;thought;looking;established;134
2016-12;challenging;school;thought;134
2016-12;school;thought;looking;134
2016-12;looking;established;evolution;129
2016-12;established;evolution;challenging;129
2016-12;antibacterial;activity;designed;104
2017-01;drug;reservoir;reduces;178
2017-01;reservoir;reduces;infection;176
2017-01;reduces;infection;risk;174
2017-01;antibacterial;activity;designed;122
2017-01;designed;facilitate;integration;122
2017-01;activity;designed;facilitate;122
2017-01;facilitate;integration;bone;104
2017-01;reduces;risk;infections;75
2017-01;reservoir;reduces;risk;75
2017-01;contra;angle;handpiece;70
2017-02;contra;angle;handpiece;41
2017-02;reduction;contra;angle;38
2017-02;check;torque;wrench;30
